"Day","ID_experiment","Sequence_order","Sequence","Minute","N","P","Fish_number","Fish_biomass","total_bites_trial","Total_bites_minute","fish_eating_minute","initial_weight","control_before","control_after","final_weight","A_cons_tot","A_cons_min","C","P_biomass_kg_m2"
"17/06/2019",4,"5_4_2_1_3",1,2,0.101,0.084,50,5330,353,40,9,60.11,60.2,37.16,32.73,16.9010099667774,1.91512860813342,0.21279206757038,0.009
"17/06/2019",4,"5_4_2_1_3",1,3,0.101,0.084,50,5330,353,31,5,60.11,60.2,37.16,32.73,16.9010099667774,1.4842246713034,0.29684493426068,0.009
"17/06/2019",4,"5_4_2_1_3",1,4,0.101,0.084,50,5330,353,25,6,60.11,60.2,37.16,32.73,16.9010099667774,1.19695538008339,0.199492563347231,0.009
"17/06/2019",4,"5_4_2_1_3",1,5,0.101,0.084,50,5330,353,22,6,60.11,60.2,37.16,32.73,16.9010099667774,1.05332073447338,0.175553455745563,0.009
"17/06/2019",4,"5_4_2_1_3",1,6,0.101,0.084,50,5330,353,2,1,60.11,60.2,37.16,32.73,16.9010099667774,0.095756430406671,0.095756430406671,0.009
"17/06/2019",4,"5_4_2_1_3",1,7,0.101,0.084,50,5330,353,28,5,60.11,60.2,37.16,32.73,16.9010099667774,1.34059002569339,0.268118005138678,0.009
"17/06/2019",4,"5_4_2_1_3",1,8,0.101,0.084,50,5330,353,8,3,60.11,60.2,37.16,32.73,16.9010099667774,0.383025721626683,0.127675240542228,0.009
"17/06/2019",4,"5_4_2_1_3",1,9,0.101,0.084,50,5330,353,9,2,60.11,60.2,37.16,32.73,16.9010099667774,0.430903936830019,0.215451968415009,0.009
"17/06/2019",4,"5_4_2_1_3",1,10,0.101,0.084,50,5330,353,13,3,60.11,60.2,37.16,32.73,16.9010099667774,0.622416797643361,0.20747226588112,0.009
"17/06/2019",4,"5_4_2_1_3",1,11,0.101,0.084,50,5330,353,16,3,60.11,60.2,37.16,32.73,16.9010099667774,0.766051443253367,0.255350481084456,0.009
"17/06/2019",4,"5_4_2_1_3",1,12,0.101,0.084,50,5330,353,11,3,60.11,60.2,37.16,32.73,16.9010099667774,0.52666036723669,0.175553455745563,0.009
"17/06/2019",4,"5_4_2_1_3",1,13,0.101,0.084,50,5330,353,16,2,60.11,60.2,37.16,32.73,16.9010099667774,0.766051443253367,0.383025721626683,0.009
"17/06/2019",4,"5_4_2_1_3",1,14,0.101,0.084,50,5330,353,1,1,60.11,60.2,37.16,32.73,16.9010099667774,0.047878215203335,0.047878215203335,0.009
"17/06/2019",4,"5_4_2_1_3",1,15,0.101,0.084,50,5330,353,0,0,60.11,60.2,37.16,32.73,16.9010099667774,0,0,0.009
